#           k/h    P           
   0.714973E+02   0.104723E-02
   0.729416E+02   0.991053E-03
   0.744151E+02   0.937860E-03
   0.759184E+02   0.887493E-03
   0.774521E+02   0.839806E-03
   0.790167E+02   0.794655E-03
   0.806129E+02   0.751907E-03
   0.822415E+02   0.711436E-03
   0.839028E+02   0.673120E-03
   0.855978E+02   0.636847E-03
   0.873269E+02   0.602508E-03
   0.890911E+02   0.570000E-03
   0.908908E+02   0.539228E-03
   0.927270E+02   0.510097E-03
   0.946001E+02   0.482522E-03
   0.965112E+02   0.456421E-03
   0.984608E+02   0.431713E-03
   0.100450E+03   0.408327E-03
   0.102479E+03   0.386192E-03
   0.104549E+03   0.365240E-03
   0.106661E+03   0.345411E-03
   0.108816E+03   0.326643E-03
   0.111014E+03   0.308881E-03
   0.113257E+03   0.292072E-03
   0.115545E+03   0.276165E-03
   0.117879E+03   0.261112E-03
   0.120260E+03   0.246868E-03
   0.122690E+03   0.233390E-03
   0.125168E+03   0.220638E-03
   0.127697E+03   0.208572E-03
   0.130277E+03   0.197157E-03
   0.132908E+03   0.186357E-03
   0.135593E+03   0.176141E-03
   0.138332E+03   0.166476E-03
   0.141127E+03   0.157332E-03
   0.143978E+03   0.148682E-03
   0.146886E+03   0.140498E-03
   0.149854E+03   0.132755E-03
   0.152881E+03   0.125430E-03
   0.155969E+03   0.118499E-03
   0.159120E+03   0.111942E-03
   0.162334E+03   0.105738E-03
   0.165614E+03   0.998690E-04
   0.168960E+03   0.943161E-04
   0.172373E+03   0.890631E-04
   0.175855E+03   0.840952E-04
   0.179407E+03   0.793979E-04
   0.183032E+03   0.749575E-04
   0.186729E+03   0.707611E-04
   0.190501E+03   0.667960E-04
   0.194350E+03   0.630502E-04
   0.198276E+03   0.595125E-04
   0.202281E+03   0.561717E-04
   0.206368E+03   0.530176E-04
