#           k/h    P           
   0.247707E+02   0.199555E-01
   0.252710E+02   0.189141E-01
   0.257816E+02   0.179265E-01
   0.263024E+02   0.169901E-01
   0.268337E+02   0.161022E-01
   0.273758E+02   0.152604E-01
   0.279288E+02   0.144621E-01
   0.284930E+02   0.137053E-01
   0.290686E+02   0.129877E-01
   0.296558E+02   0.123074E-01
   0.302549E+02   0.116625E-01
   0.308661E+02   0.110511E-01
   0.314897E+02   0.104714E-01
   0.321258E+02   0.992192E-02
   0.327748E+02   0.940103E-02
   0.334369E+02   0.890727E-02
   0.341123E+02   0.843923E-02
   0.348014E+02   0.799558E-02
   0.355045E+02   0.757507E-02
   0.362217E+02   0.717650E-02
   0.369535E+02   0.679873E-02
   0.377000E+02   0.644069E-02
   0.384616E+02   0.610135E-02
   0.392386E+02   0.577974E-02
   0.400312E+02   0.547496E-02
   0.408399E+02   0.518611E-02
   0.416649E+02   0.491238E-02
   0.425066E+02   0.465299E-02
   0.433653E+02   0.440718E-02
   0.442413E+02   0.417426E-02
   0.451350E+02   0.395354E-02
   0.460469E+02   0.374441E-02
   0.469770E+02   0.354624E-02
   0.479261E+02   0.335848E-02
   0.488942E+02   0.318058E-02
   0.498820E+02   0.301203E-02
   0.508896E+02   0.285234E-02
   0.519177E+02   0.270104E-02
   0.529665E+02   0.255771E-02
   0.540365E+02   0.242192E-02
   0.551281E+02   0.229327E-02
   0.562417E+02   0.217141E-02
   0.573779E+02   0.205597E-02
   0.585370E+02   0.194661E-02
   0.597195E+02   0.184302E-02
   0.609260E+02   0.174490E-02
   0.621568E+02   0.165195E-02
   0.634124E+02   0.156392E-02
   0.646934E+02   0.148053E-02
   0.660003E+02   0.140155E-02
   0.673336E+02   0.132675E-02
   0.686938E+02   0.125591E-02
   0.700816E+02   0.118881E-02
   0.714973E+02   0.112526E-02
   0.729416E+02   0.106508E-02
   0.744151E+02   0.100809E-02
   0.759184E+02   0.954124E-03
   0.774521E+02   0.903016E-03
   0.790167E+02   0.854619E-03
   0.806129E+02   0.808791E-03
   0.822415E+02   0.765397E-03
   0.839028E+02   0.724308E-03
   0.855978E+02   0.685402E-03
   0.873269E+02   0.648565E-03
   0.890911E+02   0.613688E-03
   0.908908E+02   0.580666E-03
   0.927270E+02   0.549402E-03
   0.946001E+02   0.519803E-03
   0.965112E+02   0.491781E-03
   0.984608E+02   0.465251E-03
   0.100450E+03   0.440136E-03
   0.102479E+03   0.416360E-03
   0.104549E+03   0.393853E-03
   0.106661E+03   0.372547E-03
   0.108816E+03   0.352379E-03
   0.111014E+03   0.333288E-03
   0.113257E+03   0.315218E-03
   0.115545E+03   0.298115E-03
   0.117879E+03   0.281928E-03
   0.120260E+03   0.266608E-03
   0.122690E+03   0.252109E-03
   0.125168E+03   0.238388E-03
   0.127697E+03   0.225404E-03
   0.130277E+03   0.213118E-03
   0.132908E+03   0.201492E-03
